target,mode,accepted,base_success_fraction_raw,rl_success_fraction_raw,base_positive_fraction_raw,rl_positive_fraction_raw,elite_threshold,base_qualified_elite_fraction_raw,rl_qualified_elite_fraction_raw,rl_qualified_elite_unique,rl_chemistry_pass_fraction_raw,base_score_min,rl_score_min,score_min_improvement,base_score_best_10_mean,rl_score_best_10_mean,score_best_10_mean_improvement,base_score_p01,rl_score_p01,score_p01_improvement,base_score_p10,rl_score_p10,score_p10_improvement,base_score_median,rl_score_median,score_median_improvement,base_score_p90,rl_score_p90,score_p90_improvement,base_score_p95,rl_score_p95,score_p95_improvement
1err,fast,True,0.9658,0.9965,0.0306,0.0002,-10.101379360000001,0.0034,0.9669,1276,0.988,-12.108785,-13.217179,1.1083940000000005,-11.2334404,-12.8879504,1.6545100000000001,-10.101379360000001,-12.105076,2.0036966399999994,-8.9389652,-11.778747,2.839781799999999,-7.561904999999999,-11.236349,3.674444000000001,-6.069571499999999,-10.483895,4.414323500000002,-5.3413705,-10.364369,5.0229985
1err,balance,True,0.9661,0.9966,0.0313,0.0003,-10.285168,0.0031,0.971,1308,0.988,-12.135685,-13.274915,1.1392299999999995,-11.3153056,-13.0317636,1.7164579999999994,-10.285168,-12.179648,1.8944799999999997,-9.128919,-11.941295,2.8123760000000004,-7.785206,-11.5975,3.8122940000000005,-6.261964,-10.8570825,4.595118500000001,-5.450406,-10.642829,5.192423000000001
4ag8,fast,True,0.9638,0.9936,0.0304,0.001,-10.816604759999999,0.0033,0.9556,2418,0.9698,-12.215141,-14.471611,2.25647,-12.090519099999998,-14.3450456,2.2545265000000025,-10.816604759999999,-13.724361,2.907756240000001,-9.489608200000001,-12.948920000000001,3.4593118,-7.7784035,-12.208845,4.430441500000001,-5.953581899999997,-11.5354015,5.581819600000004,-5.242319300000001,-11.293448,6.051128699999999
4ag8,balance,True,0.9641,0.9936,0.0307,0.0006,-11.1175324,0.0029,0.9583,2443,0.9698,-12.781697,-14.541269,1.7595720000000004,-12.407102,-14.4107673,2.0036652999999998,-11.1175324,-13.86669755,2.7491651499999996,-9.808962,-13.11018,3.3012180000000004,-8.086648,-12.368058,4.281409999999999,-6.201246,-11.676965,5.475718999999999,-5.483923,-11.46794175,5.98401875
5l2s,fast,True,0.9646,0.9897,0.0289,0.0016,-10.067072999999999,0.0037,0.9585,4888,0.9797,-12.120543,-14.421702,2.301159,-11.282115999999998,-13.818787,2.536671000000002,-10.067072999999999,-13.129992000000001,3.0629190000000026,-8.987665,-12.304338,3.3166729999999998,-7.669775,-11.591103,3.921328000000001,-6.122812,-10.7044144,4.5816023999999995,-5.3350747499999995,-10.409374,5.07429925
5l2s,balance,True,0.9642,0.9894,0.0287,0.0014,-10.26576391,0.0037,0.959,4893,0.9797,-12.345709,-14.467292,2.121583000000001,-11.418263200000002,-13.940293300000002,2.5220301000000003,-10.26576391,-13.2212517,2.9554877899999994,-9.245666799999999,-12.4055031,3.159836300000002,-7.9354505,-11.6836485,3.7481980000000004,-6.326042700000001,-10.8365181,4.510475399999998,-5.521551850000003,-10.5281975,5.006645649999996
6d6t,fast,True,0.9622,0.9888,0.0349,0.0006,-10.97762024,0.0035,0.9672,2371,0.9837,-13.19102,-14.323722,1.132702,-12.212812,-13.9902231,1.7774111000000001,-10.97762024,-13.626605,2.6489847599999994,-9.8243644,-13.1960145,3.3716501,-8.4123445,-12.428832,4.0164875,-6.6068096,-11.806040599999998,5.1992309999999975,-5.128237850000021,-11.580421350000002,6.452183499999981
6d6t,balance,True,0.9634,0.9889,0.0346,0.0008,-11.19614891,0.0038,0.9609,2310,0.9837,-13.208919,-14.510423,1.3015039999999996,-12.3806459,-14.0753611,1.694715200000001,-11.19614891,-13.626104,2.42995509,-10.0574545,-13.201383,3.1439284999999995,-8.751978000000001,-12.422705,3.6707269999999994,-7.053857099999999,-11.811641999999999,4.7577849,-5.7927649999999975,-11.586031,5.793266000000003
6iiu,fast,True,0.9643,0.9972,0.0332,0.0016,-10.60306778,0.0045,0.9734,1009,0.9919,-12.14115,-13.076937,0.9357869999999995,-11.6653833,-12.8964899,1.2311066000000004,-10.60306778,-12.619235,2.01616722,-9.4622374,-12.058915,2.5966776000000014,-8.110112,-11.554276,3.444163999999999,-6.1162279999999996,-11.021181,4.904953000000001,-4.807726200000002,-10.892005,6.084278799999997
6iiu,balance,True,0.9646,0.9972,0.0326,0.0006,-10.75112765,0.005,0.9858,1075,0.9919,-12.201183,-13.219941,1.018758,-11.7836444,-12.975804300000002,1.1921599000000018,-10.75112765,-12.721172,1.9700443499999984,-9.7248325,-12.235733,2.5109005,-8.386416,-11.796465,3.410048999999999,-6.44237,-11.322699,4.880329,-5.20172275,-11.150712,5.94898925
