target,arm,valid_fraction_raw,unique_valid_count,unique_valid_fraction,top_molecule_fraction_raw,lipinski_fraction_raw,unique_scaffold_count,top_scaffold_fraction_raw,internal_diversity,qed_mean,sa_score_mean,mol_weight_mean,logp_mean,tpsa_mean,hbd_mean,hba_mean,rotatable_bonds_mean,heavy_atoms_mean,ring_count_mean,aromatic_ring_count_mean,fraction_csp3_mean,formal_charge_mean
1err,base,0.978,9779,0.9998977505112474,0.0002,0.8644,8274,0.0352,0.8905335371980518,0.6032364158146428,3.064753156863731,359.4719068775256,2.6980331226993877,74.60093660531697,1.3785276073619632,4.591104294478527,4.973824130879345,25.272903885480574,3.156646216768916,2.3178936605316975,0.3251853332496267,0.1343558282208589
1err,rl,0.9967,1551,0.15561352463128322,0.0823,0.9924,903,0.2038,0.43909438676588597,0.5225300780266735,3.610805392691811,426.238551219023,3.794357182702922,39.243430320056184,0.9767231865155012,1.855824219925755,2.9714056386074046,32.25835256345942,5.954951339420086,3.8929467241898266,0.1571157722132707,0.9660880906993077
4ag8,base,0.978,9779,0.9998977505112474,0.0002,0.8644,8274,0.0352,0.8905335371980518,0.6032364158146428,3.064753156863731,359.4719068775256,2.6980331226993877,74.60093660531697,1.3785276073619632,4.591104294478527,4.973824130879345,25.272903885480574,3.156646216768916,2.3178936605316975,0.3251853332496267,0.1343558282208589
4ag8,rl,0.9942,2762,0.2778113055723195,0.0299,0.9815,1957,0.0484,0.5228377319655997,0.6185478289088506,2.529380667687799,403.49536552001626,3.0493742727821376,81.32350130758398,1.9185274592637296,3.2542747938040635,2.782840474753571,30.393683363508348,4.974049487024743,3.3849326091329712,0.13004573790779583,0.03188493260913297
5l2s,base,0.978,9779,0.9998977505112474,0.0002,0.8644,8274,0.0352,0.8905335371980518,0.6032364158146428,3.064753156863731,359.4719068775256,2.6980331226993877,74.60093660531697,1.3785276073619632,4.591104294478527,4.973824130879345,25.272903885480574,3.156646216768916,2.3178936605316975,0.3251853332496267,0.1343558282208589
5l2s,rl,0.9921,5203,0.5244431004939019,0.0204,0.9873,4579,0.0215,0.6133761041615677,0.58165136469998,3.053385829279635,415.9811417195849,2.714026822900918,85.09438363068237,2.442898901320431,3.2479588751133956,1.1933272855558916,31.292914020764037,5.992037093034976,3.0414272754762623,0.2482721111448326,0.006954944058058663
6d6t,base,0.978,9779,0.9998977505112474,0.0002,0.8644,8274,0.0352,0.8905335371980518,0.6032364158146428,3.064753156863731,359.4719068775256,2.6980331226993877,74.60093660531697,1.3785276073619632,4.591104294478527,4.973824130879345,25.272903885480574,3.156646216768916,2.3178936605316975,0.3251853332496267,0.1343558282208589
6d6t,rl,0.9907,2600,0.2624406984960129,0.0307,0.9881,2047,0.0524,0.6446394954775152,0.6108203238329407,2.8624533542139385,314.4175679822348,3.028618980518827,59.584146563036235,0.6326839608357727,3.0579388311295044,0.05228626223882103,23.86030079741597,5.246795195316443,2.530130210961946,0.1928415719756299,-0.001514080952861613
6iiu,base,0.978,9779,0.9998977505112474,0.0002,0.8644,8274,0.0352,0.8905335371980518,0.6032364158146428,3.064753156863731,359.4719068775256,2.6980331226993877,74.60093660531697,1.3785276073619632,4.591104294478527,4.973824130879345,25.272903885480574,3.156646216768916,2.3178936605316975,0.3251853332496267,0.1343558282208589
6iiu,rl,0.9973,1179,0.11821919181790835,0.0325,0.9932,490,0.2973,0.4188327859155292,0.6094332751932992,2.389042611159201,417.7963420234635,4.175285860824228,49.68438784718742,0.0376015241151108,2.5198034693672917,2.026772285169959,30.948761656472477,5.113205655269227,3.007921387746917,0.16017594318053546,0.0009024365787626592
